Термин;Определение
Авторский надзор;— Контроль лица, осуществившего подготовку проектной документации, за соблюдением в процессе строительства требований проектной документации. ст. 2 п. 3 ГОСТ Р 12.2.143-2009 [2]
Автостоянка (стоянка для автомобилей);— Здание или сооружение (гараж) или их часть, либо специальная открытая площадка, предназначенные для хранения (стоянки) автомобилей. п. 3.1 СП 4.13130.2013[6]
Автостоянка надземного закрытого типа;— Надземная автостоянка с наружными ограждениями. п. 3.2 СП 4.13130.2013[6]
Автостоянка открытого типа;— Автостоянка без наружных стеновых ограждений. Автостоянкой открытого типа считается также такое сооружение, которое открыто, по крайней мере, с двух противоположных сторон наибольшей протяженности. Сторона считается открытой, если общая площадь отверстий, распределенных по стороне, составляет не менее 50% наружной поверхности этой стороны в каждом ярусе (этаже). п. 3.3 СП 4.13130.2013[6]
Автостоянка с пандусами (рампами);— Автостоянки, которые используют ряд постоянно повышающихся (понижающихся) полов или ряд соединительных пандусов между полами, которые позволяют автомашине на своей тяге перемещаться от и на уровень земли. п. 3.4 СП 4.13130.2013[6]
Автостоянка с пандусами (рампами);— Автостоянки, которые используют ряд постоянно повышающихся (понижающихся) полов или ряд соединительных пандусов между полами, которые позволяют автомашине на своей тяге перемещаться с и на уровень земли. п. 3.3 СП 154.13130.2013[19]
Автостоянка с полумеханизированной парковкой;— Автостоянка, в которой транспортировка автомобилей в места хранения осуществляется с участием водителей с использованием специальных механизированных устройств. п. 3.5 СП 154.13130.2013[19]
Автотранспортный тоннель;— Городское подземное (или подводное) линейное сооружение для пропуска автотранспортных средств. п. 3.1 СП 166.1311500.2014[22]
Агрегатная установка пожаротушения;— Установка пожаротушения, в которой технические средства обнаружения пожара, хранения, выпуска и транспортирования огнетушащего вещества конструктивно представляют собой самостоятельные единицы, монтируемые непосредственно на защищаемом объекте. п. 3.7 СП 5.13130.2009[7]
Агрегатная установка пожаротушения ;— Установка пожаротушения, в которой технические средства обнаружения пожара, хранения, выпуска и транспортирования огнетушащего вещества конструктивно представляют собой самостоятельные единицы, монтируемые непосредственно на защищаемом объекте. ГОСТ 12.3.046-91 ССБТ [31]
Адресный пожарный извещатель;— Пожарный извещатель, который передает на адресный приемно-контрольный прибор код своего адреса вместе с извещением о пожаре. п. 3.8 СП 5.13130.2009[7]
Акселератор;— Устройство, обеспечивающее при срабатывании спринклерного оросителя открытие спринклерного воздушного сигнального клапана при незначительном изменении давления воздуха в питающем трубопроводе. п. 3.9 СП 5.13130.2009[7]
Акселератор;— Устройство, обеспечивающее при срабатывании спринклерного оросителя срабатывание спринклерного воздушного сигнального клапана при незначительном изменении давления воздуха в питающем трубопроводе. п. 3.1.14 ГОСТ Р 51052-2002 [36]
Аналитическая идентификация;— Отнесение объекта аналитического контроля или его компонентов к конкретному веществу, материалу, классу веществ или материалов. п. 3.2 ГОСТ Р 53293-2009 [76]
Антипирен;— Вещество, снижающее горючесть древесины и материалов на ее основе. п. 3.2 ГОСТ Р 53292-2009 [75]
Антипирен;— Вещества или смеси, добавляемые в материал (вещество) органического происхождения для снижения его горючести  п. 27 ГОСТ 12.1.033-81 [87]
Антресоль;— площадка в пределах этажа здания, на которой расположены помещения различного назначения или инженерное и технологическое оборудование. п. 3.5 СП 4.13130.2013[6]
Антресоль;— Доступная площадка в объеме двусветного помещения, открытая в это помещение, или расположенная в пределах этажа с повышенной высотой, размером менее 40% площади помещения, в котором она находится. Антресоль не является этажом. п. 3.5 СП 4.13130.2013[6]
Антресоль;— Доступная площадка в объеме двусветного помещения, открытая в это помещение или расположенная в пределах этажа с повышенной высотой, размером менее 40% площади помещения, в котором она находится. Антресоль не является этажом. Атриум, развитый по горизонтали в виде многосветного прохода (при длине более высоты), называется пассажем. п. 3.1 СП 456.1311500.2020[89]
Артиум;— Часть здания в виде многосветного пространства (три и более этажей), развитого по вертикали, смежного с поэтажными частями здания (галереями, ограждающими конструкциями помещений и т.п.), как правило, имеет верхнее освещение. п. 3.2 СП 456.1311500.2020[89]
Атмосфероустойчивое огнезащитное вещество;— Вещество, обеспечивающее в заданных пределах длительную огнезащиту изделий, постоянно находящихся под воздействием атмосферных факторов п. 28 ГОСТ 12.1.033-81 [87]
Атомная станция (АС);— Ядерная установка для производства энергии в заданных режимах и условиях применения, располагающаяся в пределах определенной проектом территории, на которой для осуществления этой цели используется ядерный реактор (реакторы) и комплекс необходимых систем, устройств, оборудования и сооружений с необходимыми работниками (персоналом). п. 2.1 СП 13.13130.2009[15]
АУП высотного стеллажного склада (АУП-ВСС(м));— АУП, смонтированная в высотном стеллажном складе. п. 3.2 СП 241.1311500.2015 [26]
АУП с многоярусным расположением оросителей (АУП-ВСС(м));— АУП, спринклерные оросители которой смонтированы под покрытием помещения и в стеллажах на различных уровнях. п. 3.3 СП 241.1311500.2015 [26]
АУП с одноярусным расположением оросителей (АУП-ВСС(о));— АУП, спринклерные оросители которой смонтированы на одном уровне только под покрытием помещения. п. 3.4 СП 241.1311500.2015 [26]
Аэровзвесь;— Взвешенная в атмосфере окислителя (воздуха) пыль. п. 3.1 ГОСТ 12.1.044-2018 [79]
Аэрозолеобразующий огнетушащий состав;— Специальный состав, способный к самостоятельному горению без доступа воздуха с образованием огнетушащего аэрозоля. п. 3.1.1 ГОСТ Р 51046-97 [35]
Аэрозолеобразующий огнетушащий состав;— Специальный состав, способный к самостоятельному горению без доступа воздуха с образованием огнетушащего аэрозоля. п. 3.6 ГОСТ Р 53284-2009 [42]
Аэрозоль (аэрозольный препарат);— Вещество (включая пропеллент) в аэрозольной упаковке. п. 3.2 ГОСТ 12.1.044-2018 [79]
Аэрозольная упаковка;— Упаковка, имеющая корпус цилиндрической формы, с узкой горловиной, укупориваемой распылительным клапаном, внутри которой сохраняется заданное давление, позволяющее проводить распыление. п. 3.3 ГОСТ 12.1.044-2018 [79]
Аэрозольное пожаротушение;— Совокупность действий и процессов, обеспечивающих тушение пожара, при которых в качестве огнетушащих веществ используют аэрозоли. п. 3.1 ГОСТ Р 53284-2009 [42]
Базовое основание;— Техническое средство, предназначенное для обеспечения крепления, монтажа и коммутации пожарных извещателей и иных технических средств пожарной автоматики. п. 3.1 ГОСТ Р 53325-2012 [50]
Балкон;— Выступающая из плоскости стены площадка. п. 3.6 СП 4.13130.2013[6]
Баллон высокого давления;— Сосуд, имеющий горловину для установки вентиля, фланца или штуцера, предназначенный для хранения и использования сжатых или сжиженных газов. п. 3.1 СП 9.13130.2009[11]
Батарея газового пожаротушения;— Группа модулей газового пожаротушения, объединенных общим коллектором и устройством ручного пуска. п. 3.10 СП 5.13130.2009[7]
Батарея газового пожаротушения;— Группа модулей, объединенных трубопроводным коллектором и устройством ручного пуска, выпускаемая заводом-изготовителем как серийное изделие. п. 3.1 ГОСТ Р 50969-96 [33]
Батарея газового пожаротушения;— Группа модулей, объединенных трубопроводным коллектором и устройством ручного пуска, выпускаемая заводом-изготовителем как серийное изделие. п. 3.2 ГОСТ Р 53281-2009 [39]
Безопасная зона;— Зона, в которой люди защищены от воздействия опасных факторов пожара или в которой опасные факторы пожара отсутствуют либо не превышают предельно допустимых значений. ст. 2 п. 2 ФЗ-123[1]
Безопасная зона;— Зона, в которой люди защищены от воздействия опасных факторов пожара или в которой опасные факторы пожара отсутствуют, либо не превышают предельно допустимых значений. п. 2.29 СП 13.13130.2009[15]
Безопасная зона;— Зона, в которой люди защищены от воздействия опасных факторов пожара или в которой опасные факторы пожара отсутствуют. п. 3.1 СП 135.13130.2012[17]
Безопасное перекрытие утечки топлива (перекрытие из безопасного места);— Перекрытие утечки топлива, не требующее присутствия людей в зоне загазованности парами топлива с концентрацией выше 20% от нижнего концентрационного предела распространения пламени. п. 3.5 СП 156.13130.2014[21]
Безопасность АС;— Свойство АС при нормальной эксплуатации и нарушениях нормальной эксплуатации, включая аварии (в том числе при пожаре), ограничивать радиационное воздействие на персонал, население и окружающую среду установленными пределами. п. 2.2 СП 13.13130.2009[15]
Бельё термостойкое;— Комплект белья летнего или зимнего из трикотажного полотна с применением термостойких волокон, используемый в комплекте с СЗО и предназначенный для дополнительной тепловой защиты пожарного и впитывания потоотделений. п. 3.6 ГОСТ Р 53264-2009 [85]
Блок АС;— Часть АС, выполняющая функцию АС в определенном проектом объеме. п. 2.3 СП 13.13130.2009[15]
Блок жилой;— Автономная часть блокированного жилого дома, включающая одну квартиру и, при необходимости, другие помещения. п. 3.7 СП 4.13130.2013[6]
Блок обработки извещения;— Составная часть многокомпонентного извещателя, обеспечивающая прием, обработку и передачу информации о состоянии чувствительного элемента. п. 3.2 ГОСТ Р 53325-2012 [50]
Блок питания;— Устройство для преобразования переменного напряжения промышленной сети в постоянное стабилизированное низкое напряжение в целях электробезопасности. п. 3.15 ГОСТ Р 53326-2009 [48]
Блок хранения жидкого моторного топлива;— Сборочная единица технологической системы блочной АЗС, предназначенная для приема и хранения жидкого моторного топлива, смонтированная на единой раме на заводе-изготовителе как единое изделие и устанавливаемая подземно. п. 3.7 СП 156.13130.2014[21]
Блок хранения топлива;— Сборочная единица технологической системы АЗС заданного уровня заводской готовности и производственной технологичности, предназначенная для приема и хранения топлива. п. 3.6 СП 156.13130.2014[21]
Блокированный жилой дом;— Здание, состоящее из двух квартир и более, каждая из которых имеет непосредственно выход на придомовую территорию. п. 3.8 СП 4.13130.2013[6]
Блочный пункт управления (блочный щит управления);— БПУ (БЩУ): Часть блока АС, размещаемая в специально предусмотренных проектом помещениях и предназначенная для централизованного автоматизированного управления технологическими процессами, реализуемого оперативным персоналом управления и средствами автоматизации. п. 2.4 СП 13.13130.2009[15]
Боевая одежда пожарного;— Комплект многослойной специальной защитной одежды общего назначения, состоящий из куртки, брюк (полукомбинезона) и предназначенный для защиты пожарного от опасных и вредных факторов окружающей среды, возникающих при тушении пожаров и проведении аварийно-спасательных работ, а также от неблагоприятных климатических воздействий. п. 3.2 ГОСТ Р 53264-2009 [85]
Быстродействие АУПТ;— Время с момента подачи исполнительного импульса на пусковой элемент АУПТ до момента начала выхода огнетушащего порошка из модуля (насадка-распылителя). п. 3.1.10 ГОСТ Р 51091-97 [37]
Быстродействие МПП;— Время с момента подачи исполнительного импульса на пусковой элемент МПП до момента начала выхода огнетушащего порошка из модуля (насадка-распылителя). п. 3.18 ГОСТ Р 53286-2009 [43]
Быстродействующие установки (модуля);— Время с момента подачи пускового импульса на запорно-пусковое устройство автоматической установки газопорошкового пожаротушения (модуля газопорошкового пожаротушения) до момента начала выпуска ГПОВ из насадка в защищаемый объем. п. 3.1 ГОСТ Р 56028-2014 [49]
Вариант организации эвакуации из каждой зоны пожарного оповещения;— Один из возможных сценариев движения людей к эвакуационным выходам, зависящий от места возникновения пожара, схемы распространения опасных факторов пожара, объемно-планировочных и конструктивных решений здания. п. 2.2 СП 3.13130.2009[5]
Ввод герметичный;— Изделие, предназначенное для обеспечения герметичного прохода электрических линий через строительные конструкции защитных оболочек атомных электрических станций (АЭС) в процессе нормальной эксплуатации, аварийных режимов работы АЭС и воздействия внешних факторов, включая сейсмические. п. 3.2 ГОСТ Р 53310-2009 [71]
Вентиляция;— Обмен воздуха в помещениях для удаления избытков теплоты, влаги, вредных и других веществ с целью обеспечения допустимого микроклимата и качества воздуха в обслуживаемой или рабочей зоне при средней необеспеченности 400 ч/год - при круглосуточной работе и 300 ч/год - при односменной работе в дневное время. п. 3.2 СП 60.13330.2012[16]
Веранда;— Застекленное неотапливаемое помещение, пристроенное к зданию или встроенное в него, не имеющее ограничения по глубине. п. 3.9 СП 4.13130.2013[6]
Вероятность воздействия опасных факторов пожара;— Математическая величина возможности воздействия опасных факторов пожара с заранее заданными значениями их параметров п. 8 ГОСТ 12.1.033-81 [87]
Вероятность возникновения пожара (загорания);— Математическая величина возможности появления необходимых и достаточных условий возникновения пожара (загорания) п. 6 ГОСТ 12.1.033-81 [87]
Вертодром;— Участок земли или определенный участок поверхности сооружения, предназначенный полностью или частично для взлета, посадки, руления и стоянки вертолетов. п. 3.2 СП 135.13130.2012[17]
Верхняя зона помещения;— Зона помещения, расположенная выше обслуживаемой или рабочей зоны. п. 3.3 СП 60.13330.2012[16]
Ветвь распределительного трубопровода;— Участок рядка распределительного трубопровода, расположенного с одной стороны питающего трубопровода. п. 3.11 СП 5.13130.2009[7]
Взрыв;— Быстрое химическое превращение среды, сопровождающееся выделением энергии и образованием сжатых газов. ст. 2 п. 3 ФЗ-123[1]
Взрыв паровоздушного облака;— Процесс сгорания горючей паровоздушной смеси в открытом пространстве с образованием волн давления. п. 3.2 СП 12.13130.2009[14]
Взрыв паровоздушной смеси в ограниченном объеме (резервуаре или производственном помещении);— Процесс сгорания образовавшейся в ограниченном объеме горючей паровоздушной смеси с повышением давления в этом объеме. п. 3.3 СП 12.13130.2009[14]
Взрыв резервуара с перегретой жидкостью при воздействии на него очага пожара;"— Процесс разрушения резервуара при нагреве от очага пожара находящейся в резервуаре жидкости до температуры, превышающей нормальную температуру кипения, с дальнейшим взрывообразным вскипанием жидкости. Процесс сопровождается образованием волн давления, и, если жидкость горючая, ""огненным шаром"". п. 3.4 СП 12.13130.2009[14]"
Взрывобезопасность объекта;— Состояние объекта, при котором выполнено одно из двух условий: п. 3.10 СП 4.13130.2013[6]
Взрывоопасная смесь;— Смесь воздуха или окислителя с горючими газами, парами легковоспламеняющихся жидкостей, горючими пылями или волокнами, которая при определенной концентрации и возникновении источника инициирования взрыва способна взорваться. п. 3.5 СП 12.13130.2009[14]
Взрывоопасная смесь;— Смесь воздуха или окислителя с горючими газами, парами легковоспламеняющихся жидкостей, горючими пылями или волокнами, которая при определенной концентрации и возникновении источника инициирования взрыва способна взорваться. ст. 2 п. 4 ФЗ-123[1]
Взрывоопасная смесь;— Смесь воздуха или окислителя с горючими газами, парами легковоспламеняющихся жидкостей, горючими пылями или волокнами, которая при определенной концентрации и возникновении источника инициирования взрыва способна взорваться. п. 3.4 СП 60.13330.2012[16]
Взрывоустойчивость объекта;— Состояние объекта, при котором отсутствует возможность повреждения несущих строительных конструкций и оборудования, травмирования людей опасными факторами взрыва, что может достигаться сбросом давления (энергии взрыва) в атмосферу до безопасного уровня в результате вскрытия проемов в ограждающих конструкциях здания, перекрываемых предохранительными противовзрывными устройствами (остекление, специальные окна или легкосбрасываемые конструкции). п. 3.11 СП 4.13130.2013[6]
Взыропожароопасноть объекта защиты;— Состояние объекта защиты, характеризуемое возможностью возникновения взрыва и развития пожара или возникновения пожара и последующего взрыва. ст. 2 п. 5 ФЗ-123[1]
Внутренний противопожарный водопровод;— Совокупность трубопроводов и технических средств, обеспечивающих подачу воды к пожарным кранам. п. 3.1 СП 10.13130.2009[12]
Внутренний противопожарный водопровод (ВПВ);— Совокупность трубопроводов и технических средств, обеспечивающих подачу воды к пожарным кранам. п. 3.5 СП 241.1311500.2015 [26]
Водный огнетушитель;— Огнетушитель с зарядом воды или воды с добавками, расширяющими область эксплуатации и применения огнетушителя (концентрация добавок поверхностно-активных веществ не более 1% об.). п. 3.2 СП 9.13130.2009[11]
Водовоздушная установка;— установка, у которой подводящий трубопровод заполнен водой, а питательный и распределительный трубопроводы периодические, в зависимости от времени года, заполняются водой или воздухом. гл. 3 ГОСТ Р 50680-94 [32]
Водозаборное сооружение;— Гидротехническое сооружение для забора воды из природного или искусственного источника с целью использования ее для нужд водоснабжения, пожаротушения. п. 3.3 СП 8.13130.2009[10]
Водозаполненная установка;— установка, у которой подводящий питательный и распределительный трубопроводы заполнены водой. Установка предназначена для работы в условиях положительных температур. гл. 3 ГОСТ Р 50680-94 [32]
Водоисточник;— Место естественного или искусственного скопления воды, используемой для водоснабжения. п. 3.4 СП 8.13130.2009[10]
Водонаполненная установка;— Установка, у которой подводящий, питающий и распределительный трубопроводы в дежурном режиме заполнены водой. п. 3.12 СП 5.13130.2009[7]
Водонапорный бак;— Водопитатель, заполненный расчетным объемом воды, находящейся под атмосферным давлением, автоматически обеспечивающий давление в трубопроводах ВПВ за счет пьезометрической высоты расположения над пожарными кранами, а также расчетный расход воды, необходимый для работы пожарных кранов ВПВ до выхода на рабочий режим основного водопитателя (насосной установки). п. 3.2 СП 10.13130.2009[12]
Водонепроницаемый слой;— Слой, который входит в состав пакета материалов БОП или наносится на материал верха и предназначен для защиты подкостюмного пространства от проникновения воды, растворов с добавками поверхностно-активных веществ и агрессивных сред. п. 3.9 ГОСТ Р 53264-2009 [85]
